]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
9.3750,33.5170
9.4070,33.5170
9.4340,29.1617
9.4660,25.4963
9.5020,25.4963
9.5290,24.5046
9.5610,22.3561
9.5940,22.3561
9.6210,18.8066
9.6530,18.8066
9.6810,15.9231
9.7130,14.1494
9.7490,14.1494
9.7760,13.0197
9.8090,13.2710
9.8420,13.2710
9.8690,13.2708
9.9010,13.2708
9.9290,15.2510
9.9610,20.0704
9.9920,20.0704
10.0190,26.6415
10.0560,26.6415
10.0830,32.8125
10.1150,38.0796
10.1460,38.0796
10.1750,42.7874
10.2060,42.7874
10.2320,48.9118
10.2650,55.5279
10.3010,55.5279
10.3280,62.6914
10.3600,69.7908
10.3920,69.7908
10.4190,76.0009
10.4510,76.0009
10.4770,80.9001
10.5100,84.3598
10.5450,84.3598
10.5710,86.1020
10.6030,86.1020
10.6310,86.5916
10.6630,86.1208
10.6940,86.1208
10.7220,85.4519
10.7540,85.4519
10.7800,84.9761
10.8120,84.9857
10.8490,84.9857
10.8760,85.3947
10.9080,85.8821
10.9400,85.8821
10.9680,86.2556
11.0000,86.2556
11.0280,86.5820
11.0600,86.8907
11.0970,86.8907
11.1240,87.0545
11.1560,87.1320
11.1880,87.1320
11.2160,87.1512
11.2480,87.1512
11.2750,87.1609
11.3080,87.1995
11.3400,87.1995
11.3670,87.1508
11.4030,87.1797
11.4350,87.1797
11.4630,87.2863
11.4950,87.2863
11.5220,87.4024
11.5550,87.6158
11.5870,87.6158
11.6140,88.0142
11.6510,88.0142
11.6790,88.4629
11.7110,88.9233
11.7420,88.9233
11.7690,89.3657
11.8020,89.3657
11.8280,89.8296
11.8600,90.1762
11.8960,90.1762
11.9240,90.2656
11.9560,90.1167
11.9880,90.1167
12.0160,89.7998
12.0480,89.7998
12.0750,89.1294
12.1070,88.0626
12.1400,88.0626
12.1670,86.7061
12.2030,85.6033
12.2350,85.6033
12.2630,84.9844
12.2960,84.9844
12.3230,84.5105
12.3550,84.1231
12.3870,84.1231
12.4140,83.8965
12.4510,83.8965
12.4770,83.9720
12.5100,84.6142
12.5410,84.6142
12.5670,85.5844
12.6000,85.5844
12.6270,86.5808
12.6590,87.3728
12.6910,87.3728
12.7190,87.8482
12.7550,88.1503
12.7870,88.1503
12.8140,88.4821
12.8470,88.4821
12.8740,88.9721
12.9060,89.4937
12.9380,89.4937
12.9660,89.9779
13.0030,90.2655
13.0350,90.2655
13.0620,90.4643
13.0950,90.4643
13.1220,90.5837
13.1540,90.6136
13.1850,90.6136
13.2130,90.6036
13.2490,90.6036
13.2750,90.5637
13.3080,90.4941
13.3390,90.4941
13.3660,90.4245
13.3970,90.4245
13.4250,90.3152
13.4570,90.2357
13.4880,90.2357
13.5160,90.1861
13.5520,90.1464
13.5840,90.1464
13.6110,90.1365
13.6430,90.1365
13.6710,90.1960
13.7030,90.3052
13.7360,90.3052
13.7640,90.4543
13.8000,90.6235
13.8330,90.6235
13.8590,90.8329
13.8930,90.8329
13.9200,91.0327
13.9520,91.1927
13.9840,91.1927
14.0120,91.3128
14.0440,91.3128
14.0710,91.3931
14.1070,91.3930
14.1400,91.3930
14.1670,91.2828
14.1980,91.1927
14.2290,91.1927
14.2570,91.2127
14.2890,91.2127
14.3160,91.2828
14.3520,91.3731
14.3850,91.3731
14.4110,91.4834
14.4430,91.4834
14.4710,91.5637
14.5030,91.6140
14.5360,91.6140
14.5620,91.6541
14.6000,91.7446
14.6320,91.7446
14.6590,91.9158
14.6910,91.9158
14.7190,92.1781
14.7510,92.4612
14.7830,92.4612
14.8100,92.7147
14.8430,92.7147
14.8700,92.8671
14.9070,92.8775
14.9390,92.8775
14.9670,92.7856
14.9990,92.5625
15.0320,92.5625
15.0590,92.2286
15.0920,92.2286
15.1190,91.8856
15.1550,91.7447
15.1860,91.7447
15.2140,91.9462
15.2450,91.9462
15.2710,92.2690
15.3040,92.4916
15.3350,92.4916
15.3610,92.5728
15.3930,92.5728
15.4250,92.5726
15.4570,92.6232
15.4890,92.6232
15.5170,92.8262
15.5490,93.1214
15.5810,93.1214
15.6080,93.3867
15.6410,93.3867
15.6680,93.5502
15.7050,93.5400
15.7370,93.5400
15.7650,93.4686
15.7970,93.3459
15.8290,93.3459
15.8560,93.1824
15.8890,93.1824
15.9160,92.9485
15.9530,92.6743
15.9850,92.6743
16.0130,92.3296
16.0450,91.9762
16.0770,91.9762
16.1040,91.8250
16.1380,91.8250
16.1650,91.8352
16.1970,91.8453
16.2330,91.8453
16.2610,91.8353
16.2920,91.8353
16.3180,91.8351
16.3510,91.8552
16.3820,91.8552
16.4080,92.0772
16.4400,92.0772
16.4680,92.5219
16.5040,92.9790
16.5360,92.9790
16.5620,93.3561
16.5960,93.6322
16.6280,93.6322
16.6550,93.8780
16.6870,93.8780
16.7150,94.0938
16.7510,94.3409
16.7820,94.3409
16.8090,94.6297
16.8410,94.6297
16.8670,95.0022
16.8990,95.5848
16.9310,95.5848
16.9570,96.6640
16.9890,96.6640
17.0170,97.8403
17.0540,99.3441
17.0860,99.3441
17.1130,101.2025
17.1450,103.3692
17.1780,103.3692
17.2050,105.7382
17.2380,105.7382
