]0;🐍Done | 9.2.8\
Code stopped by auto-reload. Reloading soon.
soft reboot
[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
[2K[0Gcode.py output:
]0;🐍code.py | 9.2.8\
BNO085 initialized, 1 reports successfully.
IMU initialized.
timestamp_s,roll_deg
12.4770,33.1584
12.5100,34.1127
12.5420,34.1127
12.5690,34.5766
12.6020,34.5766
12.6290,35.1949
12.6610,36.2702
12.6960,36.2702
12.7240,37.5667
12.7570,39.0420
12.7890,39.0420
12.8160,40.7476
12.8500,40.7476
12.8760,42.9325
12.9080,44.9474
12.9400,44.9474
12.9710,46.6921
13.0030,46.6921
13.0300,48.3331
13.0630,49.7843
13.0930,49.7843
13.1200,51.2288
13.1520,51.2288
13.1790,52.9685
13.2110,54.7166
13.2470,54.7166
13.2740,56.4899
13.3070,58.3773
13.3390,58.3773
13.3660,60.2039
13.3980,60.2039
13.4250,62.0018
13.4570,63.3668
13.4930,63.3668
13.5200,63.9244
13.5520,63.9244
13.5790,64.0899
13.6110,64.2297
13.6440,64.2297
13.6710,64.6316
13.7020,64.6316
13.7290,65.2739
13.7610,66.0247
13.7970,66.0247
13.8240,66.8684
13.8570,67.8690
13.8890,67.8690
13.9160,68.6472
13.9480,68.6472
13.9760,69.6329
14.0080,70.7997
14.0450,70.7997
14.0720,71.9707
14.1050,73.2534
14.1360,73.2534
14.1630,74.5625
14.1950,74.5625
14.2230,76.0361
14.2560,77.3324
14.2880,77.3324
14.3190,78.1499
14.3510,78.1499
14.3780,78.4884
14.4100,78.7620
14.4410,78.7620
14.4690,78.9433
14.5000,78.9433
14.5260,78.7870
14.5590,78.3588
14.5950,78.3588
14.6220,77.8856
14.6540,78.0134
14.6870,78.0134
14.7140,78.8398
14.7460,78.8398
14.7730,79.6480
14.8060,80.0820
14.8420,80.0820
14.8690,80.1287
14.9000,80.0922
14.9320,80.0922
14.9590,80.9311
14.9900,80.9311
15.0170,82.7540
15.0490,82.7540
15.0760,84.2143
15.1080,84.9814
15.1440,84.9814
15.1710,85.0494
15.2030,84.4080
15.2350,84.4080
15.2630,82.9870
15.2950,82.9870
15.3220,80.6216
15.3540,77.3792
15.3900,77.3792
15.4170,72.7866
15.4480,72.7866
15.4750,66.3276
15.5070,56.4073
15.5380,56.4073
15.5650,39.4583
15.5970,39.4583
15.6240,16.0077
15.6600,4.6814
15.6920,4.6814
15.7200,7.7531
15.7520,2.7584
15.7840,2.7584
15.8120,2.7887
15.8440,2.7887
15.8710,3.0486
15.9030,2.9449
15.9400,2.9449
15.9680,2.9952
16.0000,3.0392
16.0320,3.0392
16.0600,3.0609
16.0920,3.0609
16.1190,3.0895
16.1510,3.0896
16.1880,3.0896
16.2150,3.1987
16.2470,3.3233
16.2780,3.3233
16.3060,3.8949
16.3370,3.8949
16.3640,6.1269
16.3960,6.1269
16.4230,10.3941
16.4550,15.7587
16.4900,15.7587
16.5180,21.8094
16.5510,28.1741
16.5820,28.1741
16.6090,34.4007
16.6420,34.4007
16.6690,40.4403
16.7010,46.1904
16.7380,46.1904
16.7660,51.3943
16.7970,56.0181
16.8290,56.0181
16.8570,59.8051
16.8890,59.8051
16.9160,63.1187
16.9480,65.9270
16.9790,65.9270
17.0100,68.4485
17.0420,68.4485
17.0690,70.3958
17.1020,71.4618
17.1340,71.4618
17.1610,71.8517
17.1930,71.8517
17.2200,71.9972
17.2520,72.8074
17.2880,72.8074
17.3150,74.0602
17.3490,75.6914
17.3810,75.6914
17.4070,79.1702
17.4400,79.1702
17.4670,82.0047
17.4990,83.8489
17.5350,83.8489
17.5630,84.8375
17.5950,85.1245
17.6270,85.1245
17.6540,84.7727
17.6880,84.7727
17.7150,83.7641
17.7470,82.0522
17.7790,82.0522
17.8070,79.4799
17.8440,75.9889
17.8760,75.9889
17.9030,73.4849
17.9360,73.4849
17.9620,71.8693
17.9930,71.8693
18.0210,70.7916
18.0520,71.1630
18.0880,71.1630
18.1150,73.5612
18.1480,77.2134
18.1790,77.2134
18.2060,80.0645
18.2380,80.0645
18.2660,81.5721
18.2980,81.9260
18.3300,81.9260
18.3610,81.2097
18.3930,79.3745
18.4260,79.3745
18.4530,76.2766
18.4850,76.2766
18.5130,71.6102
18.5450,64.3911
18.5760,64.3911
18.6040,59.4601
18.6410,59.4601
18.6680,57.5345
18.7000,56.2874
18.7320,56.2874
18.7590,56.0545
18.7910,56.0545
18.8180,57.7679
18.8510,61.6588
18.8860,61.6588
18.9130,67.4820
18.9460,73.1791
18.9790,73.1791
19.0050,76.7700
19.0370,76.7700
19.0650,78.4863
19.0960,78.6003
19.1280,78.6003
19.1550,77.1602
19.1920,74.0814
19.2250,74.0814
19.2520,68.9440
19.2840,68.9440
19.3110,62.7313
19.3440,59.9370
